Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
ZAF,2014-01-01,2014-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7021,Annual value,LCU,6131.000000,A
ZAF,2014-01-01,2014-01-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7001,January,LCU,6939.000000,A
ZAF,2014-02-01,2014-02-28,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7002,February,LCU,6909.000000,A
ZAF,2014-03-01,2014-03-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7003,March,LCU,5858.000000,A
ZAF,2014-04-01,2014-04-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7004,April,LCU,5491.000000,A
ZAF,2014-05-01,2014-05-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7005,May,LCU,5304.000000,A
ZAF,2014-06-01,2014-06-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7006,June,LCU,5118.000000,A
ZAF,2014-07-01,2014-07-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7007,July,LCU,5466.000000,A
ZAF,2014-08-01,2014-08-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7008,August,LCU,5930.000000,A
ZAF,2014-09-01,2014-09-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7009,September,LCU,5998.000000,A
ZAF,2014-10-01,2014-10-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7010,October,LCU,6401.000000,A
ZAF,2014-11-01,2014-11-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7011,November,LCU,6825.000000,A
ZAF,2014-12-01,2014-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2014,2014,7012,December,LCU,7090.000000,A
ZAF,2015-01-01,2015-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7021,Annual value,LCU,5939.000000,A
ZAF,2015-01-01,2015-01-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7001,January,LCU,6654.000000,A
ZAF,2015-02-01,2015-02-28,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7002,February,LCU,6597.000000,A
ZAF,2015-03-01,2015-03-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7003,March,LCU,5743.000000,A
ZAF,2015-04-01,2015-04-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7004,April,LCU,5330.000000,A
ZAF,2015-05-01,2015-05-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7005,May,LCU,5104.000000,A
ZAF,2015-06-01,2015-06-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7006,June,LCU,5152.000000,A
ZAF,2015-07-01,2015-07-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7007,July,LCU,5353.000000,A
ZAF,2015-08-01,2015-08-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7008,August,LCU,5742.000000,A
ZAF,2015-09-01,2015-09-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7009,September,LCU,6035.000000,A
ZAF,2015-10-01,2015-10-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7010,October,LCU,6453.000000,A
ZAF,2015-11-01,2015-11-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7011,November,LCU,6672.000000,A
ZAF,2015-12-01,2015-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2015,2015,7012,December,LCU,6898.000000,A
ZAF,2016-01-01,2016-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7021,Annual value,LCU,6540.000000,A
ZAF,2016-01-01,2016-01-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7001,January,LCU,7094.000000,A
ZAF,2016-02-01,2016-02-29,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7002,February,LCU,7275.000000,A
ZAF,2016-03-01,2016-03-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7003,March,LCU,6915.000000,A
ZAF,2016-04-01,2016-04-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7004,April,LCU,6222.000000,A
ZAF,2016-05-01,2016-05-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7005,May,LCU,5970.000000,A
ZAF,2016-06-01,2016-06-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7006,June,LCU,5936.000000,A
ZAF,2016-07-01,2016-07-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7007,July,LCU,6248.000000,A
ZAF,2016-08-01,2016-08-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7008,August,LCU,6541.000000,A
ZAF,2016-09-01,2016-09-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7009,September,LCU,6650.000000,A
ZAF,2016-10-01,2016-10-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7010,October,LCU,6562.000000,A
ZAF,2016-11-01,2016-11-30,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7011,November,LCU,6676.000000,A
ZAF,2016-12-01,2016-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2016,2016,7012,December,LCU,6838.000000,A
ZAF,2017-01-01,2017-12-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7021,Annual value,LCU,6561.000000,A
ZAF,2017-01-01,2017-01-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7001,January,LCU,7066.000000,A
ZAF,2017-02-01,2017-02-28,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7002,February,LCU,7191.000000,A
ZAF,2017-03-01,2017-03-31,202,'710,South Africa,515,'01341,Apples,5530,Producer Price (LCU/tonne),2017,2017,7003,March,LCU,6699.000000,A
